s5,s4,s3,s2,s1,label
156,123,138,196,228,NO_FIRE
170,134,146,201,231,NO_FIRE
175,142,157,207,241,NO_FIRE
180,151,158,208,243,NO_FIRE
182,152,158,211,246,NO_FIRE
186,154,159,214,249,NO_FIRE
186,154,164,214,249,NO_FIRE
182,145,164,214,249,NO_FIRE
180,143,159,213,246,NO_FIRE
176,139,147,189,239,NO_FIRE
176,139,147,189,239,NO_FIRE
176,139,174,210,242,NO_FIRE
180,145,182,212,246,NO_FIRE
180,148,188,213,247,NO_FIRE
180,145,182,213,247,NO_FIRE
165,138,150,212,245,NO_FIRE
161,138,150,212,245,NO_FIRE
160,138,151,212,246,NO_FIRE
157,137,151,214,247,NO_FIRE
157,137,151,214,248,NO_FIRE
175,132,151,167,230,NO_FIRE
176,133,150,166,230,NO_FIRE
178,141,148,165,228,NO_FIRE
178,141,141,165,228,NO_FIRE
171,139,141,168,229,NO_FIRE
168,132,146,170,230,NO_FIRE
168,132,155,171,232,NO_FIRE
170,133,158,172,233,NO_FIRE
170,133,158,173,235,NO_FIRE
169,124,153,173,235,NO_FIRE
155,109,133,188,238,NO_FIRE
150,109,133,188,234,NO_FIRE
150,110,135,188,234,NO_FIRE
156,115,135,190,234,NO_FIRE
156,119,135,190,235,NO_FIRE
157,127,145,205,244,NO_FIRE
163,148,151,212,246,NO_FIRE
172,151,152,213,246,NO_FIRE
173,152,152,213,246,NO_FIRE
173,152,152,212,245,NO_FIRE
172,150,151,211,245,NO_FIRE
170,146,151,211,245,NO_FIRE
168,144,151,211,245,NO_FIRE
162,133,145,207,239,NO_FIRE
150,121,134,199,233,NO_FIRE
142,117,130,194,228,NO_FIRE
142,117,129,191,226,NO_FIRE
147,117,129,191,226,NO_FIRE
147,119,131,192,227,NO_FIRE
146,120,131,194,228,NO_FIRE
145,120,132,194,229,NO_FIRE
145,120,132,194,229,NO_FIRE
161,120,108,133,200,NO_FIRE
169,123,110,133,200,NO_FIRE
187,139,119,141,206,NO_FIRE
187,142,123,141,206,NO_FIRE
186,142,123,140,205,NO_FIRE
183,141,117,137,202,NO_FIRE
182,140,116,137,202,NO_FIRE
182,140,116,137,202,NO_FIRE
184,141,117,138,203,NO_FIRE
185,142,117,138,204,NO_FIRE
185,142,117,138,204,NO_FIRE
184,141,116,137,203,NO_FIRE
183,140,116,136,201,NO_FIRE
181,139,115,136,201,NO_FIRE
181,138,115,136,201,NO_FIRE
182,138,117,138,205,NO_FIRE
186,142,117,139,205,NO_FIRE
187,143,118,139,205,NO_FIRE
187,143,118,139,205,NO_FIRE
184,140,116,137,202,NO_FIRE
178,135,113,134,200,NO_FIRE
178,135,103,125,194,NO_FIRE
181,136,103,125,182,NO_FIRE
185,142,110,126,182,NO_FIRE
185,142,110,126,182,NO_FIRE
184,141,110,125,181,NO_FIRE
182,139,109,124,180,NO_FIRE
180,138,109,124,180,NO_FIRE
180,138,109,124,180,NO_FIRE
182,139,109,124,180,NO_FIRE
184,140,111,127,184,NO_FIRE
184,141,111,127,184,NO_FIRE
184,141,111,127,184,NO_FIRE
420,295,224,225,254,FIRE_LEFT
451,317,241,231,261,FIRE_LEFT
656,428,291,242,265,FIRE_LEFT
792,555,381,261,282,FIRE_LEFT
897,609,415,270,284,FIRE_LEFT
986,786,404,290,284,FIRE_LEFT
992,908,459,299,294,FIRE_LEFT
998,984,548,343,331,FIRE_LEFT
998,984,548,343,331,FIRE_LEFT
998,987,548,370,345,FIRE_LEFT
1000,991,669,370,345,FIRE_LEFT
1000,991,669,370,345,FIRE_LEFT
1000,991,428,347,338,FIRE_LEFT
998,989,363,323,319,FIRE_LEFT
996,989,349,331,325,FIRE_LEFT
996,989,349,331,325,FIRE_LEFT
997,991,394,362,338,FIRE_LEFT
998,991,653,374,342,FIRE_LEFT
999,993,890,404,361,FIRE_LEFT
1003,996,951,475,411,FIRE_LEFT
1003,996,951,475,411,FIRE_LEFT
1000,995,510,414,380,FIRE_LEFT
999,993,386,361,348,FIRE_LEFT
999,993,386,361,348,FIRE_LEFT
1000,993,401,369,353,FIRE_LEFT
1000,993,658,392,361,FIRE_LEFT
1001,993,665,396,365,FIRE_LEFT
1001,993,658,392,361,FIRE_LEFT
1001,993,375,340,333,FIRE_LEFT
1001,993,375,340,333,FIRE_LEFT
1001,991,460,350,336,FIRE_LEFT
1002,993,467,405,372,FIRE_LEFT
1003,993,641,396,365,FIRE_LEFT
1006,994,710,398,367,FIRE_LEFT
1006,994,725,398,367,FIRE_LEFT
1005,994,725,398,367,FIRE_LEFT
1003,994,613,417,378,FIRE_LEFT
1003,993,591,398,370,FIRE_LEFT
1002,995,563,425,389,FIRE_LEFT
1002,994,563,428,394,FIRE_LEFT
1001,994,528,428,394,FIRE_LEFT
1001,994,571,432,397,FIRE_LEFT
380,376,950,982,710,FIRE_CENTER
501,443,956,990,784,FIRE_CENTER
420,443,943,990,784,FIRE_CENTER
420,251,800,932,660,FIRE_CENTER
411,251,800,932,593,FIRE_CENTER
311,350,958,964,593,FIRE_CENTER
411,644,996,987,706,FIRE_CENTER
311,644,996,990,969,FIRE_CENTER
288,688,991,996,973,FIRE_CENTER
288,688,991,996,990,FIRE_CENTER
288,688,991,996,990,FIRE_CENTER
332,640,989,994,994,FIRE_CENTER
448,538,989,994,994,FIRE_CENTER
594,640,992,999,994,FIRE_CENTER
520,973,995,999,995,FIRE_CENTER
594,983,997,1000,995,FIRE_CENTER
932,993,1007,1000,995,FIRE_CENTER
970,993,1009,997,991,FIRE_CENTER
981,993,1010,996,990,FIRE_CENTER
986,995,1011,996,990,FIRE_CENTER
986,995,1011,996,990,FIRE_CENTER
799,990,1002,993,978,FIRE_CENTER
799,990,1002,993,978,FIRE_CENTER
833,990,1004,995,985,FIRE_CENTER
959,993,1006,995,988,FIRE_CENTER
962,993,1006,995,986,FIRE_CENTER
983,993,1008,995,987,FIRE_CENTER
987,997,1009,996,987,FIRE_CENTER
991,998,1009,999,992,FIRE_CENTER
987,999,1011,1000,992,FIRE_CENTER
985,999,1011,1002,995,FIRE_CENTER
985,999,1012,1003,996,FIRE_CENTER
987,998,1012,1003,996,FIRE_CENTER
989,997,1011,999,993,FIRE_CENTER
991,997,1011,998,992,FIRE_CENTER
991,997,1011,998,991,FIRE_CENTER
989,996,1007,994,916,FIRE_CENTER
989,996,1007,994,916,FIRE_CENTER
991,997,1009,997,989,FIRE_CENTER
991,997,1009,998,990,FIRE_CENTER
991,996,1008,998,990,FIRE_CENTER
886,915,1006,953,900,FIRE_CENTER
886,915,1006,953,900,FIRE_CENTER
959,990,1006,998,987,FIRE_CENTER
975,990,1005,999,988,FIRE_CENTER
975,991,1005,999,988,FIRE_CENTER
976,991,1007,997,988,FIRE_CENTER
983,993,1009,997,988,FIRE_CENTER
988,995,1010,997,989,FIRE_CENTER
988,995,1010,998,990,FIRE_CENTER
988,995,1010,998,990,FIRE_CENTER
988,995,1010,998,989,FIRE_CENTER
983,995,1010,999,989,FIRE_CENTER
984,996,1010,999,991,FIRE_CENTER
984,996,1009,1003,994,FIRE_CENTER
986,996,1009,1003,994,FIRE_CENTER
