s1,s2,s3,s4,s5,label
930,910,900,920,940,NO_FIRE
920,935,910,905,925,NO_FIRE
890,900,880,910,905,NO_FIRE
860,830,780,820,850,NO_FIRE
760,720,330,730,750,NO_FIRE
880,870,420,860,875,NO_FIRE
820,790,360,800,810,NO_FIRE
760,730,390,740,770,NO_FIRE
900,880,600,870,890,NO_FIRE
850,830,520,820,840,NO_FIRE
920,910,870,890,900,NO_FIRE
875,860,840,855,865,NO_FIRE
910,900,875,880,895,NO_FIRE
840,835,810,825,830,NO_FIRE
890,870,850,865,880,NO_FIRE
940,925,910,920,935,NO_FIRE
780,760,500,755,770,NO_FIRE
815,805,610,800,820,NO_FIRE
870,860,700,855,865,NO_FIRE
900,880,830,875,895,NO_FIRE
900,320,720,810,850,FIRE_LEFT
880,350,680,790,840,FIRE_LEFT
860,390,650,760,820,FIRE_LEFT
820,450,600,720,790,FIRE_LEFT
780,520,560,690,760,FIRE_LEFT
920,300,740,830,870,FIRE_LEFT
900,340,710,810,860,FIRE_LEFT
870,380,690,780,830,FIRE_LEFT
850,420,640,760,810,FIRE_LEFT
830,480,610,730,790,FIRE_LEFT
890,360,700,805,845,FIRE_LEFT
910,330,730,820,860,FIRE_LEFT
845,440,620,740,800,FIRE_LEFT
800,510,580,700,770,FIRE_LEFT
875,370,690,785,835,FIRE_LEFT
905,345,715,815,855,FIRE_LEFT
850,410,660,765,815,FIRE_LEFT
830,470,630,735,795,FIRE_LEFT
880,355,705,800,845,FIRE_LEFT
810,500,590,710,780,FIRE_LEFT
860,780,320,790,850,FIRE_CENTER
830,760,350,770,820,FIRE_CENTER
800,720,390,740,790,FIRE_CENTER
760,690,450,700,750,FIRE_CENTER
720,660,520,670,710,FIRE_CENTER
870,790,300,800,860,FIRE_CENTER
840,765,340,780,830,FIRE_CENTER
810,735,380,750,800,FIRE_CENTER
780,705,430,720,770,FIRE_CENTER
740,675,500,690,735,FIRE_CENTER
855,775,315,790,845,FIRE_CENTER
825,745,365,760,815,FIRE_CENTER
795,715,410,730,785,FIRE_CENTER
765,695,470,705,755,FIRE_CENTER
730,665,530,680,720,FIRE_CENTER
865,785,325,795,855,FIRE_CENTER
835,755,355,770,825,FIRE_CENTER
805,725,395,745,795,FIRE_CENTER
775,700,440,715,765,FIRE_CENTER
745,670,510,690,735,FIRE_CENTER
850,810,720,330,900,FIRE_RIGHT
830,790,680,360,880,FIRE_RIGHT
800,760,640,400,860,FIRE_RIGHT
770,730,600,460,830,FIRE_RIGHT
740,700,560,520,800,FIRE_RIGHT
870,825,740,310,920,FIRE_RIGHT
845,800,700,350,895,FIRE_RIGHT
815,770,660,390,865,FIRE_RIGHT
785,740,620,450,835,FIRE_RIGHT
755,710,580,510,805,FIRE_RIGHT
855,815,710,340,905,FIRE_RIGHT
835,795,690,370,885,FIRE_RIGHT
805,765,650,410,855,FIRE_RIGHT
775,735,610,470,825,FIRE_RIGHT
745,705,570,530,795,FIRE_RIGHT
865,820,730,320,915,FIRE_RIGHT
840,805,705,355,890,FIRE_RIGHT
810,775,665,395,860,FIRE_RIGHT
780,745,625,455,830,FIRE_RIGHT
750,715,585,515,800,FIRE_RIGHT
840,780,860,790,830,FIRE_CLOSE
870,820,900,830,860,FIRE_CLOSE
900,850,940,860,890,FIRE_CLOSE
820,760,880,770,810,FIRE_CLOSE
860,810,920,820,850,FIRE_CLOSE
890,840,960,850,880,FIRE_CLOSE
830,770,890,780,820,FIRE_CLOSE
875,825,935,835,865,FIRE_CLOSE
910,860,980,870,900,FIRE_CLOSE
850,800,910,810,840,FIRE_CLOSE
880,830,950,840,870,FIRE_CLOSE
920,870,990,880,910,FIRE_CLOSE
835,785,895,795,825,FIRE_CLOSE
865,815,925,825,855,FIRE_CLOSE
895,845,965,855,885,FIRE_CLOSE
825,775,885,785,815,FIRE_CLOSE
855,805,915,815,845,FIRE_CLOSE
885,835,955,845,875,FIRE_CLOSE
915,865,985,875,905,FIRE_CLOSE
845,795,905,805,835,FIRE_CLOSE
